,MessageID,MessageType,MessageTimeLeft,MessageTimeReceived,MessageDelay,MessageRoute,MessageTarget
744,17_12,Real,11.06595641949425,16.419373416804486,"[0.14899993067232922, 1.0619143266047006, 0]","[Client id: 17, ( id: 1, corrupt: False ), Client id: 59]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
745,4_7,Real,5.538402518945398,16.419373416804486,"[0.7623642095795241, 0.11977442823336126, 0]","[Client id: 4, ( id: 1, corrupt: False ), Client id: 78]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
746,9_14,Real,14.717132426727575,16.419373416804486,"[0.3347983979750024, 0.040241601382415296, 0]","[Client id: 9, ( id: 1, corrupt: False ), Client id: 89]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
747,24_4,Real,13.250767351493092,16.419373416804486,"[2.6250771467788736, 0.4101919876780059, 0]","[Client id: 24, ( id: 1, corrupt: False ), Client id: 38]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
748,40_7,Real,7.644822509115488,16.419373416804486,"[0.280659342669689, 0.15571543923210038, 0]","[Client id: 40, ( id: 1, corrupt: False ), Client id: 42]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
749,1_1,Real,2.44953086897786,16.419373416804486,"[2.44953086897786, 1.5868657504012673, 0]","[Client id: 1, ( id: 1, corrupt: False ), Client id: 49]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
750,55_10,Real,7.99399470612204,16.50195558679972,"[0.939831767335336, 0.14084625533849976, 0]","[Client id: 55, ( id: 8, corrupt: False ), Client id: 41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
751,42_1,Real,0.04730011028992636,16.50195558679972,"[0.04730011028992636, 0.3049550925590139, 0]","[Client id: 42, ( id: 8, corrupt: False ), Client id: 53]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
752,51_4,Real,3.5678146752610456,16.50195558679972,"[0.38346622878600517, 0.1454506073902036, 0]","[Client id: 51, ( id: 8, corrupt: False ), Client id: 83]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
753,68_7,Real,5.896555702107152,16.50195558679972,"[1.130345484728052, 5.320399931894516, 0]","[Client id: 68, ( id: 8, corrupt: False ), Client id: 93]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
