,MessageID,MessageType,MessageTimeLeft,MessageDelay,MessageRoute
1460,62_25,Real,13.844774874624735,"[0.38068323599756515, 0.15251690205893761, 0]","[Client id: 62, ( id: 7, corrupt: False ), Client id: 87]"
1461,75_14,Real,13.848508900578036,"[1.652682266981595, 0.07258725437717832, 0]","[Client id: 75, ( id: 1, corrupt: False ), Client id: 54]"
1462,65_16,Real,13.850045238969864,"[1.1812204565588866, 1.6072152672340927, 0]","[Client id: 65, ( id: 5, corrupt: False ), Client id: 19]"
1463,42_17,Real,13.853394648791568,"[0.315737033871171, 0.5044563086286288, 0]","[Client id: 42, ( id: 2, corrupt: False ), Client id: 79]"
1464,93_18,Real,13.881582225341797,"[1.1362390389508843, 2.4289648778578004, 0]","[Client id: 93, ( id: 7, corrupt: False ), Client id: 12]"
1465,93_19,Real,13.88715845382137,"[0.005576228479573453, 0.29204819328742737, 0]","[Client id: 93, ( id: 5, corrupt: False ), Client id: 50]"
1466,54_18,Real,13.889176623151302,"[0.487437451799457, 0.05613100844792475, 0]","[Client id: 54, ( id: 2, corrupt: False ), Client id: 2]"
1467,48_11,Real,13.898019038928872,"[1.141866306590392, 0.9703119207061637, 0]","[Client id: 48, ( id: 3, corrupt: False ), Client id: 99]"
1468,90_21,Real,13.899830741366365,"[0.13151246071643288, 0.21181717943267475, 0]","[Client id: 90, ( id: 4, corrupt: False ), Client id: 88]"
1469,90_22,Real,13.937587597621988,"[0.03775685625562223, 0.9597320284461921, 0]","[Client id: 90, ( id: 2, corrupt: False ), Client id: 26]"
1470,20_16,Real,13.957022315906844,"[2.354973667694762, 0.8316966156087781, 0]","[Client id: 20, ( id: 7, corrupt: False ), Client id: 85]"
1471,92_17,Real,13.960791551205325,"[1.1708283016353769, 2.3674392393313917, 0]","[Client id: 92, ( id: 7, corrupt: False ), Client id: 81]"
1472,70_16,Real,13.960944318815278,"[0.6733876950490163, 0.6326615840003675, 0]","[Client id: 70, ( id: 8, corrupt: False ), Client id: 84]"
1473,63_17,Real,13.970075199332136,"[0.42138134024261875, 0.9058604899199101, 0]","[Client id: 63, ( id: 8, corrupt: False ), Client id: 86]"
1474,91_14,Real,13.97719355789012,"[0.4350560544233794, 1.9781476068120873, 0]","[Client id: 91, ( id: 1, corrupt: False ), Client id: 94]"
1475,15_16,Real,13.986569294724637,"[0.34874389557924107, 1.062184069817789, 0]","[Client id: 15, ( id: 4, corrupt: False ), Client id: 30]"
1476,45_19,Real,13.99716944394277,"[2.549079632566257, 0.5287753625491126, 0]","[Client id: 45, ( id: 10, corrupt: False ), Client id: 33]"
1477,79_16,Real,14.002717857312039,"[0.233631060330843, 0.275564967541078, 0]","[Client id: 79, ( id: 2, corrupt: False ), Client id: 53]"
1478,92_18,Real,14.003155273886307,"[0.04236372268098246, 0.7431270087490344, 0]","[Client id: 92, ( id: 2, corrupt: False ), Client id: 29]"
1479,80_25,Real,14.01424540394296,"[0.5102607801037318, 0.3687127582358284, 0]","[Client id: 80, ( id: 5, corrupt: False ), Client id: 66]"
1480,51_11,Real,14.0229682082947,"[1.1505279732455984, 0.5179347059565188, 0]","[Client id: 51, ( id: 1, corrupt: False ), Client id: 24]"
1481,9_12,Real,14.027876520974917,"[1.052041601668086, 2.5463906786696273, 0]","[Client id: 9, ( id: 1, corrupt: False ), Client id: 4]"
1482,0_14,Real,14.049780217234913,"[2.924257360050493, 1.5364447640693029, 0]","[Client id: 0, ( id: 1, corrupt: False ), Client id: 49]"
1483,71_24,Real,14.055483232994645,"[0.31065523044149546, 0.30792695844749196, 0]","[Client id: 71, ( id: 1, corrupt: False ), Client id: 92]"
1484,7_14,Real,14.06055440912036,"[1.3586288494360006, 1.8878562133514678, 0]","[Client id: 7, ( id: 3, corrupt: False ), Client id: 9]"
1485,5_13,Real,14.066637105833617,"[0.46816023086048264, 1.6089120898878246, 0]","[Client id: 5, ( id: 1, corrupt: False ), Client id: 40]"
1486,94_14,Real,14.07297944077035,"[1.1696199722548006, 2.2463713842455935, 0]","[Client id: 94, ( id: 6, corrupt: False ), Client id: 92]"
1487,37_17,Real,14.080417403644347,"[1.1330966663091369, 0.11274252203019788, 0]","[Client id: 37, ( id: 1, corrupt: False ), Client id: 3]"
